cap-shape,cap-surface,bruises,odor,gill-size,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,spore-print-color
x,f,t,n,b,b,s,s,g,k
x,f,f,n,b,e,s,f,w,n
x,f,t,n,b,b,s,s,g,k
x,s,f,n,b,e,s,s,w,n
f,s,f,n,b,e,f,f,w,k
x,s,f,n,b,e,f,s,w,k
f,f,f,n,b,e,s,f,w,k
x,f,t,n,b,b,s,s,w,n
x,s,f,n,b,e,s,f,w,n
x,s,f,n,b,e,f,s,w,k
f,s,f,n,b,e,s,f,w,n
f,y,t,p,n,e,s,s,w,n
f,s,f,n,b,e,s,f,w,k
f,y,t,a,b,r,s,y,w,n
x,f,t,n,b,b,s,s,g,k
f,s,f,n,b,e,s,s,w,n
x,s,f,n,b,e,f,s,w,n
f,y,t,p,n,e,s,s,w,n
x,s,f,n,b,e,f,f,w,k
x,s,f,n,b,e,s,s,w,k
f,s,f,n,b,e,s,s,w,k
f,s,f,n,b,e,s,s,w,n
x,f,f,n,b,e,f,f,w,k
f,s,f,n,b,e,s,f,w,k
f,s,f,n,b,e,f,f,w,n
x,f,f,n,b,e,s,f,w,n
f,f,f,n,b,e,f,s,w,n
f,f,f,n,b,e,s,f,w,k
x,y,t,l,b,c,s,s,w,n
x,s,f,n,b,e,f,s,w,k
x,s,f,n,b,e,f,f,w,n
f,s,f,n,b,e,f,s,w,k
x,s,t,p,n,e,s,s,w,n
x,s,f,n,b,e,s,f,w,k
x,f,t,n,b,b,s,s,g,n
f,f,f,n,b,e,s,s,w,n
x,s,f,n,b,e,s,f,w,k
f,f,f,n,b,e,s,s,w,n
f,s,f,n,b,e,s,s,w,n
x,s,f,n,b,e,f,f,w,k
f,y,t,l,b,r,s,y,w,k
f,y,t,p,n,e,s,s,w,k
x,s,f,n,b,e,s,f,w,n
x,f,t,n,b,b,s,s,w,k
f,y,t,p,n,e,s,s,w,k
x,s,t,p,n,e,s,s,w,k
f,s,t,p,n,e,s,s,w,n
x,f,t,n,b,b,s,s,g,k
b,y,t,l,b,c,s,s,w,k
f,y,t,p,n,e,s,s,w,k
f,f,f,n,b,e,s,f,w,k
x,s,f,n,b,e,f,s,w,n
x,f,t,n,b,b,s,s,g,k
x,s,f,n,b,e,f,s,w,k
f,f,f,n,b,e,s,s,w,k
f,f,f,n,b,e,f,f,w,n
f,y,t,p,n,e,s,s,w,n
f,y,t,p,n,e,s,s,w,k
x,s,f,n,b,e,s,f,w,k
f,f,f,n,b,e,f,f,w,n
x,f,t,n,b,b,s,s,p,k
f,s,f,n,b,e,f,s,w,n
f,f,f,n,b,e,f,s,w,k
f,s,t,p,n,e,s,s,w,n
x,f,f,n,b,e,f,f,w,n
f,y,t,p,n,e,s,s,w,n
x,s,f,n,b,e,f,f,w,k
f,f,f,n,b,e,f,f,w,k
x,s,f,n,b,e,s,s,w,n
x,f,t,n,b,b,s,s,p,n
x,s,f,n,b,e,f,s,w,n
f,s,t,p,n,e,s,s,w,n
x,f,t,n,b,b,s,s,w,n
x,s,f,n,b,e,f,f,w,k
f,s,f,n,b,e,f,s,w,k
x,s,t,a,n,b,s,s,w,u
x,f,f,n,b,e,f,f,w,n
x,y,t,n,b,b,s,s,g,k
x,f,t,n,b,b,s,s,g,n
x,s,t,a,n,b,s,s,w,u
f,f,f,n,b,e,s,s,w,k
x,s,f,n,b,e,s,s,w,k
x,y,t,n,b,b,s,s,g,n
f,s,f,n,b,e,f,f,w,k
f,s,t,p,n,e,s,s,w,k
f,f,f,n,b,e,s,f,w,n
x,f,f,n,b,e,s,s,w,n
f,f,f,n,b,e,s,f,w,n
f,s,f,n,b,e,f,f,w,k
x,f,f,n,b,e,f,f,w,n
f,y,t,p,n,e,s,s,w,k
x,f,f,n,b,e,f,s,w,n
f,s,f,n,b,e,f,f,w,n
x,s,f,n,b,e,f,s,w,k
x,f,f,n,b,e,s,s,w,k
x,s,f,n,b,e,s,s,w,k
f,y,t,l,b,r,s,y,w,k
x,y,t,p,n,e,s,s,w,k
x,f,f,n,b,e,s,f,w,k
f,s,f,n,b,e,f,f,w,k
x,s,f,n,b,e,s,f,w,n
f,y,t,p,n,e,s,s,w,n
f,f,f,n,b,e,f,s,w,k
f,s,t,p,n,e,s,s,w,n
f,s,f,n,b,e,f,s,w,k
x,s,f,n,b,e,f,s,w,k
x,f,f,n,b,e,s,s,w,k
f,f,f,n,b,e,s,s,w,k
f,s,f,n,b,e,s,f,w,n
x,s,f,n,b,e,s,f,w,n
x,f,f,n,b,e,s,f,w,k
x,f,f,n,b,e,s,f,w,k
f,f,f,n,b,e,s,s,w,n
b,y,t,a,b,c,s,s,w,k
f,f,f,n,b,e,s,f,w,n
x,f,f,n,b,e,s,s,w,k
f,f,f,n,b,e,f,f,w,n
x,f,t,n,b,b,s,s,p,n
f,s,t,p,n,e,s,s,w,k
x,f,t,n,b,b,s,s,p,n
x,f,f,n,b,e,f,f,w,n
x,f,t,n,b,b,s,s,w,k
x,f,f,n,b,e,f,s,w,n
f,s,f,n,b,e,s,s,w,k
f,s,f,n,b,e,s,s,w,k
x,y,t,a,b,c,s,s,w,k
x,f,t,a,n,b,s,s,w,u
f,f,f,n,b,e,f,f,w,n
f,f,f,n,b,e,s,f,w,n
f,f,f,n,b,e,s,f,w,n
b,y,t,a,b,c,s,s,w,k
x,f,f,n,b,e,f,f,w,k
x,y,t,l,b,c,s,s,w,n
f,s,f,n,b,e,s,f,w,k
x,s,f,n,b,e,s,s,w,n
x,f,f,n,b,e,f,f,w,n
x,s,f,n,b,e,s,f,w,n
x,s,f,n,b,e,f,f,w,n
x,y,t,n,b,b,s,s,w,n
f,s,f,n,b,e,f,f,w,k
x,y,t,a,b,c,s,s,w,k
x,s,f,n,b,e,f,f,w,k
f,y,t,p,n,e,s,s,w,k
f,s,f,n,b,e,s,s,w,n
f,s,t,p,n,e,s,s,w,n
f,s,f,n,b,e,s,s,w,k
f,f,f,n,b,e,f,f,w,n
x,s,t,p,n,e,s,s,w,n
x,s,f,n,b,e,f,f,w,k
x,s,t,p,n,e,s,s,w,n
x,s,f,n,b,e,f,f,w,n
f,s,f,n,b,e,s,s,w,k
f,y,t,p,n,e,s,s,w,n
x,f,f,n,b,e,s,s,w,k
x,s,f,n,b,e,s,s,w,k
x,f,f,n,b,e,f,f,w,n
x,f,f,n,b,e,f,s,w,k
x,y,t,n,b,b,s,s,g,k
f,s,t,p,n,e,s,s,w,k
f,f,f,n,b,e,f,s,w,k
x,y,t,a,b,r,s,y,w,k
x,f,f,n,b,e,s,s,w,n
f,f,f,n,b,e,f,f,w,k
b,s,t,l,b,c,s,s,w,k
f,s,f,n,b,e,s,f,w,k
f,f,f,n,b,e,f,f,w,k
f,f,f,n,b,e,s,s,w,n
f,s,t,p,n,e,s,s,w,n
x,s,f,n,b,e,s,f,w,n
b,y,t,a,b,c,s,s,w,k
f,s,f,n,b,e,s,f,w,n
f,s,f,n,b,e,s,f,w,k
x,f,f,n,b,e,f,s,w,n
f,s,f,n,b,e,s,f,w,k
x,f,f,n,b,e,f,s,w,k
x,f,t,n,b,b,s,s,p,n
b,y,t,l,b,c,s,s,w,n
x,f,t,n,b,b,s,s,g,n
f,y,t,p,n,e,s,s,w,k
x,s,f,n,b,e,s,s,w,n
f,s,t,p,n,e,s,s,w,k
f,s,f,n,b,e,s,f,w,n
f,f,f,n,b,e,s,f,w,k
x,f,f,n,b,e,s,f,w,k
x,f,f,n,b,e,f,s,w,n
f,s,f,n,b,e,f,f,w,n
x,s,t,l,b,c,s,s,w,k
f,s,f,n,b,e,s,f,w,k
x,s,f,n,b,e,f,s,w,k
x,y,t,p,n,e,s,s,w,k
f,f,f,n,b,e,s,f,w,k
f,y,t,p,n,e,s,s,w,k
f,f,f,n,b,e,s,s,w,k
x,f,t,n,b,b,s,s,p,k
x,f,f,n,b,e,s,f,w,k
f,s,t,p,n,e,s,s,w,n
f,s,f,n,b,e,s,f,w,k
x,s,t,p,n,e,s,s,w,n
x,f,t,n,b,b,s,s,g,n
x,f,f,n,b,e,f,s,w,n
x,y,t,a,b,r,s,y,w,n
f,f,f,n,b,e,f,f,w,k
f,s,f,n,b,e,s,f,w,n
x,f,f,n,b,e,f,s,w,n
f,f,f,n,b,e,f,f,w,k
f,f,f,n,b,e,s,f,w,n
x,f,f,n,b,e,f,f,w,k
f,f,f,n,b,e,f,f,w,n
x,f,t,n,b,b,s,s,w,n
x,s,f,n,b,e,f,s,w,k
f,s,f,n,b,e,f,s,w,k
x,y,t,l,b,r,s,y,w,n
x,y,t,n,b,b,s,s,p,k
f,s,f,n,b,e,f,f,w,k
f,f,f,n,b,e,s,f,w,n
f,s,f,n,b,e,f,f,w,n
f,f,f,n,b,e,s,s,w,k
f,f,f,n,b,e,s,f,w,k
f,s,f,n,b,e,s,s,w,k
x,s,f,n,b,e,s,s,w,n
x,f,t,n,b,b,s,s,w,n
x,s,f,n,b,e,f,f,w,n
x,f,f,n,b,e,f,s,w,k
f,s,f,n,b,e,f,f,w,n
x,f,f,n,n,e,s,s,w,k
f,s,t,p,n,e,s,s,w,k
f,s,t,p,n,e,s,s,w,n
x,f,t,n,b,b,s,s,w,k
x,s,f,n,b,e,f,s,w,n
f,f,f,n,b,e,s,s,w,n
x,s,f,n,b,e,s,s,w,n
x,f,f,n,b,e,f,f,w,n
x,s,f,n,b,e,s,s,w,k
f,f,f,n,b,e,f,f,w,k
f,s,f,n,b,e,s,f,w,n
f,s,f,n,b,e,s,f,w,k
x,f,t,n,b,b,s,s,p,k
f,y,t,p,n,e,s,s,w,n
x,f,f,n,b,e,f,s,w,n
x,f,t,n,b,b,s,s,w,n
f,s,t,p,n,e,s,s,w,n
f,s,t,p,n,e,s,s,w,k
f,s,t,p,n,e,s,s,w,k
f,f,f,n,b,e,s,f,w,n
f,s,f,n,b,e,f,s,w,n
f,f,f,n,b,e,f,f,w,k
x,s,f,n,b,e,s,f,w,k
f,s,f,n,b,e,s,f,w,k
f,s,t,p,n,e,s,s,w,n
f,s,t,p,n,e,s,s,w,k
f,s,f,n,b,e,f,f,w,n
x,s,f,n,b,e,f,s,w,k
x,s,f,n,b,e,f,f,w,n
x,f,t,n,b,b,s,s,w,k
x,f,t,n,b,b,s,s,g,n
f,f,f,n,b,e,f,s,w,k
f,f,f,n,b,e,f,s,w,n
x,f,f,n,b,e,f,f,w,k
x,s,t,l,b,c,s,s,w,n
f,s,f,n,b,e,f,f,w,n
x,s,f,n,b,e,s,f,w,n
x,f,f,n,b,e,s,s,w,n
x,f,f,n,b,e,f,s,w,n
x,s,f,n,b,e,s,s,w,n
x,s,f,n,b,e,f,f,w,k
x,s,f,n,b,e,f,s,w,n
x,s,f,n,b,e,s,f,w,k
f,s,f,n,b,e,s,s,w,n
x,s,f,n,b,e,f,f,w,k
f,f,f,n,b,e,s,s,w,n
f,f,f,n,b,e,s,s,w,k
x,f,f,n,b,e,s,s,w,n
f,f,f,n,b,e,f,s,w,k
x,f,f,n,b,e,s,f,w,k
x,y,t,a,b,c,s,s,w,k
x,s,t,l,b,c,s,s,w,k
x,s,f,n,b,e,s,f,w,k
x,y,t,p,n,e,s,s,w,k
x,f,f,n,b,e,s,f,w,n
x,s,t,p,n,e,s,s,w,k
x,y,t,n,b,b,s,s,p,n
f,s,t,p,n,e,s,s,w,k
x,y,t,l,b,c,s,s,w,n
x,y,t,l,b,c,s,s,w,n
f,y,t,l,b,r,s,y,w,n
x,s,f,n,b,e,s,f,w,n
f,s,f,n,b,e,f,s,w,k
x,s,f,n,b,e,s,s,w,k
x,s,f,n,b,e,f,s,w,k
f,s,f,n,b,e,f,f,w,n
f,s,f,n,b,e,s,s,w,k
x,s,f,n,b,e,f,f,w,k
b,s,t,l,b,c,s,s,w,n
x,s,f,n,b,e,s,s,w,k
x,s,t,l,b,c,s,s,w,k
f,y,t,p,n,e,s,s,w,k
f,s,f,n,b,e,f,f,w,k
f,s,f,n,b,e,f,f,w,k
f,s,f,n,b,e,s,s,w,n
f,f,f,n,b,e,f,s,w,n
x,y,t,n,b,b,s,s,g,n
x,f,t,n,b,b,s,s,g,k
x,y,t,a,b,r,s,y,w,n
x,f,t,n,b,b,s,s,p,k
f,f,f,n,b,e,f,f,w,n
f,s,f,n,b,e,f,s,w,k
f,s,f,n,b,e,s,f,w,n
x,f,f,n,b,e,f,s,w,n
f,s,f,n,b,e,f,f,w,k
f,f,f,n,b,e,f,s,w,n
x,f,f,n,b,e,s,s,w,n
x,s,f,n,b,e,s,f,w,n
x,f,t,n,b,b,s,s,w,k
f,s,f,n,b,e,s,s,w,n
f,f,f,n,b,e,f,s,w,k
f,y,t,p,n,e,s,s,w,k
x,f,t,n,b,b,s,s,p,k
x,f,f,n,b,e,f,f,w,k
f,f,f,n,b,e,s,f,w,k
f,y,t,p,n,e,s,s,w,n
f,f,f,n,b,e,s,s,w,k
x,f,t,n,b,b,s,s,w,k
x,f,f,n,b,e,f,f,w,k
x,f,f,n,b,e,f,f,w,k
x,f,t,n,b,b,s,s,g,n
x,s,f,n,b,e,s,f,w,n
f,f,f,n,b,e,s,f,w,n
x,f,t,n,b,b,s,s,p,k
x,y,t,l,b,c,s,s,w,k
x,y,t,l,b,c,s,s,w,n
f,s,f,n,b,e,f,s,w,n
f,s,f,n,b,e,s,s,w,k
f,s,f,n,b,e,f,f,w,k
f,s,f,n,b,e,f,s,w,k
x,f,f,n,b,e,s,f,w,n
x,s,f,n,b,e,s,f,w,n
b,y,t,a,b,c,s,s,w,n
f,y,t,p,n,e,s,s,w,k
x,s,f,n,b,e,s,f,w,k
f,s,f,n,b,e,f,s,w,k
x,y,t,a,b,r,s,y,w,k
x,s,f,n,b,e,f,f,w,n
f,s,f,n,b,e,f,s,w,n
x,s,t,p,n,e,s,s,w,k
f,s,f,n,b,e,f,f,w,k
x,f,f,n,b,e,f,s,w,n
f,s,t,p,n,e,s,s,w,k
x,f,f,n,b,e,s,s,w,n
x,s,f,n,b,e,f,s,w,k
x,f,t,n,b,b,s,s,g,k
f,s,f,n,b,e,f,s,w,k
f,s,t,p,n,e,s,s,w,n
x,f,f,n,b,e,s,f,w,k
f,f,f,n,b,e,s,s,w,n
f,s,f,n,b,e,f,f,w,n
x,f,f,n,b,e,f,f,w,k
f,y,t,l,b,r,s,y,w,n
f,s,t,p,n,e,s,s,w,n
x,f,f,n,b,e,s,s,w,n
f,f,f,n,n,e,s,s,w,k
f,y,t,p,n,e,s,s,w,n
f,s,f,n,b,e,s,f,w,n
x,f,f,n,b,e,f,f,w,n
f,y,t,a,b,r,s,y,w,n
x,f,f,n,b,e,f,f,w,n
x,f,f,n,b,e,f,f,w,k
f,y,t,p,n,e,s,s,w,n
f,f,f,n,b,e,f,s,w,k
f,f,f,n,b,e,s,s,w,n
x,f,f,n,b,e,s,s,w,k
x,f,t,n,b,b,s,s,p,n
x,s,f,n,b,e,f,f,w,k
x,s,f,n,b,e,f,s,w,k
x,f,f,n,b,e,f,f,w,k
f,f,f,n,b,e,s,s,w,n
x,f,t,n,b,b,s,s,w,k
x,s,f,n,b,e,f,f,w,n
x,s,t,p,n,e,s,s,w,n
f,s,f,n,b,e,s,f,w,n
x,s,f,n,b,e,s,s,w,n
x,f,t,n,b,b,s,s,w,k
x,y,t,a,b,r,s,y,w,n
x,s,f,n,b,e,f,f,w,k
x,f,f,n,b,e,f,s,w,k
x,f,f,n,b,e,s,s,w,k
x,y,t,a,b,c,s,s,w,n
x,f,t,n,b,b,s,s,g,k
x,f,f,n,b,e,s,s,w,k
x,f,f,n,b,e,f,s,w,k
f,s,t,p,n,e,s,s,w,n
f,s,t,p,n,e,s,s,w,k
x,s,f,n,b,e,s,s,w,k
x,f,f,n,n,e,s,s,w,n
f,s,f,n,b,e,f,f,w,k
x,s,f,n,b,e,f,s,w,k
f,s,t,p,n,e,s,s,w,k
b,s,t,a,b,c,s,s,w,n
x,f,f,n,b,e,f,f,w,k
f,y,t,p,n,e,s,s,w,k
x,s,f,n,b,e,f,f,w,k
x,s,f,n,b,e,s,f,w,n
x,s,f,n,b,e,f,s,w,k
f,s,t,p,n,e,s,s,w,n
f,s,f,n,b,e,f,f,w,k
x,f,f,n,b,e,f,s,w,n
f,f,f,n,b,e,s,s,w,n
x,f,f,n,b,e,f,f,w,n
f,y,t,p,n,e,s,s,w,k
x,f,f,n,b,e,s,f,w,n
f,s,f,n,b,e,f,s,w,n
f,y,t,p,n,e,s,s,w,k
f,s,f,n,b,e,s,f,w,k
f,y,t,n,b,b,s,s,w,n
x,f,f,n,b,e,s,f,w,n
x,f,t,n,b,b,s,s,w,k
x,y,t,n,b,b,s,s,p,n
f,f,t,n,b,b,s,s,p,n
f,y,t,n,b,b,s,s,p,k
f,s,f,n,b,e,f,s,w,n
x,f,t,n,b,b,s,s,p,n
x,y,t,n,b,b,s,s,g,k
x,f,f,n,b,e,f,s,w,n
f,s,t,p,n,e,s,s,w,n
f,f,t,n,b,b,s,s,g,k
x,s,t,p,n,e,s,s,w,k
x,s,t,a,b,c,s,s,w,n
x,s,f,n,b,e,s,s,w,k
x,y,t,a,b,c,s,s,w,n
x,f,f,f,b,b,k,k,n,h
f,s,f,n,b,e,f,s,w,n
f,s,f,n,b,e,f,f,w,n
x,f,t,n,b,b,s,s,g,k
f,s,f,n,b,e,s,s,w,k
x,f,f,n,b,e,s,f,w,k
x,s,t,p,n,e,s,s,w,k
f,f,t,n,b,b,s,s,p,n
x,y,t,l,b,c,s,s,w,n
f,f,f,n,b,e,f,s,w,k
x,y,t,n,b,b,s,s,w,n
f,f,f,n,b,e,s,s,w,k
x,s,f,n,b,e,f,s,w,n
x,y,t,n,b,b,s,s,w,k
x,y,t,n,b,b,s,s,w,n
x,f,t,n,b,b,s,s,g,k
f,s,f,n,b,e,f,s,w,n
x,f,t,n,b,b,s,s,p,k
x,f,t,n,b,b,s,s,g,n
x,f,t,n,b,b,s,s,g,n
x,y,t,n,b,b,s,s,p,n
f,f,f,n,b,e,f,f,w,n
x,y,t,n,b,b,s,s,p,k
x,s,f,n,b,e,s,f,w,k
x,f,f,n,b,e,f,s,w,k
f,f,f,n,b,e,s,s,w,n
x,y,t,n,b,b,s,s,w,k
f,y,t,p,n,e,s,s,w,n
x,y,t,n,b,b,s,s,p,k
f,f,f,n,b,e,s,f,w,k
f,s,f,n,b,e,f,s,w,n
x,y,t,n,b,b,s,s,g,n
f,f,t,n,b,b,s,s,p,k
x,f,t,n,b,b,s,s,g,k
f,f,t,n,b,b,s,s,w,k
x,s,f,n,b,e,f,s,w,n
x,f,t,n,b,b,s,s,w,n
x,f,t,n,b,b,s,s,w,k
x,f,t,n,b,b,s,s,w,k
x,f,t,n,b,b,s,s,p,n
x,f,t,a,n,b,s,s,w,n
x,f,t,n,b,b,s,s,g,n
f,s,t,p,n,e,s,s,w,n
x,s,f,n,b,e,f,f,w,k
x,f,t,n,b,b,s,s,g,n
x,y,t,n,b,b,s,s,p,k
x,f,f,n,b,e,f,s,w,k
x,f,t,n,b,b,s,s,p,n
x,s,f,n,b,e,s,s,w,n
x,y,t,n,b,b,s,s,p,n
x,y,t,n,b,b,s,s,p,n
x,s,f,n,b,e,f,s,w,k
x,s,f,n,b,e,s,f,w,k
x,s,f,n,b,e,s,s,w,k
x,s,f,n,b,e,s,f,w,k
f,f,t,n,b,b,s,s,p,n
f,f,f,n,b,e,s,f,w,k
f,f,f,n,b,e,s,s,w,k
x,y,t,n,b,b,s,s,g,n
x,f,t,n,b,b,s,s,p,n
x,y,t,n,b,b,s,s,w,n
x,f,t,n,b,b,s,s,w,k
f,s,f,n,b,e,s,s,w,n
x,s,f,n,b,e,s,s,w,k
x,s,f,n,b,e,s,f,w,k
x,f,f,n,b,e,s,s,w,n
x,f,t,n,b,b,s,s,g,n
x,f,t,n,b,b,s,s,g,n
f,f,t,n,b,b,s,s,g,k
f,f,t,l,n,b,s,s,w,n
f,f,f,n,b,e,f,f,w,k
f,y,t,p,n,e,s,s,w,k
f,f,t,n,b,b,s,s,g,k
x,f,t,n,b,b,s,s,w,n
x,s,f,n,b,e,f,f,w,n
x,f,f,n,b,e,f,f,w,n
x,s,f,n,b,e,s,s,w,n
x,f,f,n,b,e,s,s,w,n
x,s,f,n,b,e,s,s,w,n
x,y,t,n,b,b,s,s,g,n
x,f,t,n,b,b,s,s,p,n
f,s,f,n,b,e,f,f,w,n
f,s,f,n,b,e,f,f,w,k
x,s,f,n,b,e,f,s,w,n
f,f,t,n,b,b,s,s,p,k
x,s,f,n,b,e,f,f,w,n
f,f,f,n,b,e,s,f,w,n
f,s,f,n,b,e,f,s,w,k
x,f,f,n,b,e,s,s,w,n
f,f,f,n,b,e,s,s,w,n
f,f,f,n,b,e,f,f,w,k
x,f,t,n,b,b,s,s,w,n
f,s,f,n,b,e,s,f,w,k
f,s,f,n,b,e,f,f,w,n
x,y,t,n,b,b,s,s,g,k
x,y,t,n,b,b,s,s,g,k
x,y,t,n,b,b,s,s,g,k
x,f,f,n,b,e,s,s,w,k
f,f,f,n,b,e,f,s,w,n
f,y,t,l,b,r,s,y,w,n
f,y,t,p,n,e,s,s,w,k
f,s,f,n,b,e,f,f,w,k
f,f,f,n,b,e,s,f,w,k
f,f,t,n,b,b,s,s,g,k
x,f,t,n,b,b,s,s,g,k
f,f,f,n,b,e,s,s,w,n
x,f,f,n,b,e,f,s,w,k
x,f,f,n,b,e,f,f,w,n
x,y,t,n,b,b,s,s,g,n
f,f,t,n,b,b,s,s,g,k
x,f,f,n,b,e,s,f,w,k
x,f,f,n,b,e,s,f,w,k
f,s,f,n,b,e,s,f,w,k
f,s,f,n,b,e,s,s,w,k
f,y,t,p,n,e,s,s,w,k
b,s,t,a,b,c,s,s,w,n
x,f,t,n,b,b,s,s,g,n
f,f,f,n,b,e,f,f,w,k
x,f,f,n,b,e,f,s,w,n
x,s,f,n,b,e,s,f,w,n
f,s,t,l,n,b,s,s,w,u
x,f,f,n,b,e,s,s,w,n
x,s,f,n,b,e,f,s,w,k
x,s,f,n,b,e,f,s,w,k
x,y,t,n,b,b,s,s,w,k
f,f,t,n,b,b,s,s,g,k
x,f,t,n,b,b,s,s,w,k
f,f,f,n,b,e,s,s,w,k
f,s,f,n,b,e,f,s,w,n
f,s,t,p,n,e,s,s,w,n
f,f,f,n,b,e,f,f,w,n
x,y,t,n,b,b,s,s,g,n
x,y,t,n,b,b,s,s,g,n
x,f,f,n,b,e,s,s,w,n
x,f,t,n,b,b,s,s,p,n
x,y,t,n,b,b,s,s,p,n
x,f,t,n,b,b,s,s,g,k
x,f,t,n,b,b,s,s,p,n
x,f,t,n,b,b,s,s,p,k
x,s,t,p,n,e,s,s,w,k
x,f,f,n,b,e,s,s,w,k
x,y,t,n,b,b,s,s,p,n
x,f,t,n,b,b,s,s,w,n
f,y,t,p,n,e,s,s,w,n
x,f,t,n,b,b,s,s,w,k
x,f,f,n,b,e,s,f,w,k
x,f,t,n,b,b,s,s,g,k
f,f,f,n,b,e,f,s,w,n
f,s,f,n,b,e,f,f,w,n
f,s,f,n,b,e,s,s,w,k
x,y,t,n,b,b,s,s,w,n
f,s,f,n,b,e,f,f,w,k
f,f,t,n,b,b,s,s,p,n
f,s,f,n,b,e,s,s,w,k
x,f,f,n,b,e,f,f,w,k
f,f,f,n,b,e,s,f,w,n
x,s,t,p,n,e,s,s,w,k
x,f,t,n,b,b,s,s,w,k
f,s,f,n,b,e,f,s,w,n
f,y,t,p,n,e,s,s,w,n
x,f,t,n,b,b,s,s,p,n
x,f,t,n,b,b,s,s,w,n
f,f,f,n,b,e,f,f,w,n
x,f,t,n,b,b,s,s,g,k
f,f,f,n,b,e,s,s,w,n
x,f,f,n,b,e,f,f,w,k
x,y,t,l,b,c,s,s,w,k
x,s,f,n,b,e,f,s,w,n
x,y,t,n,b,b,s,s,p,n
x,f,t,n,b,b,s,s,g,k
x,s,f,n,b,e,f,s,w,n
f,y,t,p,n,e,s,s,w,n
x,f,t,n,b,b,s,s,w,n
f,s,t,p,n,e,s,s,w,k
f,y,t,p,n,e,s,s,w,n
x,f,t,n,b,b,s,s,p,n
f,s,f,n,b,e,s,f,w,n
x,f,t,n,b,b,s,s,g,n
x,f,f,n,b,e,s,f,w,k
x,f,t,n,b,b,s,s,p,n
f,s,f,n,b,e,f,s,w,n
f,f,f,n,b,e,s,f,w,k
x,s,f,n,b,e,f,f,w,k
x,s,f,n,b,e,s,f,w,k
x,f,t,n,b,b,s,s,g,n
x,y,t,n,b,b,s,s,g,n
f,s,f,n,b,e,f,f,w,k
x,f,t,n,b,b,s,s,g,k
f,y,t,p,n,e,s,s,w,n
x,y,t,l,b,r,s,y,w,n
f,s,t,p,n,e,s,s,w,k
f,f,f,n,b,e,f,s,w,n
f,f,f,n,b,e,f,f,w,k
f,s,t,p,n,e,s,s,w,n
x,s,f,n,b,e,f,f,w,n
x,f,f,n,b,e,s,f,w,k
x,f,t,n,b,b,s,s,g,k
f,f,f,n,b,e,s,s,w,k
x,f,f,n,b,e,s,s,w,n
f,s,f,n,b,e,f,s,w,n
f,f,f,n,b,e,f,s,w,k
f,s,t,a,n,b,s,s,w,n
f,f,t,a,n,b,s,s,w,n
f,f,f,n,b,e,s,f,w,n
x,f,t,n,b,b,s,s,w,n
x,y,t,n,b,b,s,s,g,k
x,f,t,n,b,b,s,s,w,n
x,f,f,n,b,e,s,f,w,k
x,f,t,n,b,b,s,s,w,n
x,f,t,n,b,b,s,s,p,k
x,f,f,n,b,e,f,s,w,k
x,f,t,n,b,b,s,s,w,n
x,s,f,n,b,e,f,f,w,k
b,y,t,l,b,c,s,s,w,k
x,y,t,n,b,b,s,s,w,k
f,s,f,n,b,e,s,f,w,n
x,f,t,n,b,b,s,s,p,k
f,y,t,n,b,b,s,s,g,k
x,y,t,n,b,b,s,s,p,k
x,s,f,n,b,e,s,s,w,n
x,s,f,n,b,e,f,s,w,k
x,f,f,n,b,e,f,f,w,n
x,s,f,n,b,e,s,s,w,k
x,y,t,n,b,b,s,s,w,k
f,f,t,n,b,b,s,s,p,n
f,f,t,n,b,b,s,s,p,k
x,f,f,n,b,e,f,f,w,n
f,s,f,n,b,e,s,f,w,n
x,f,f,n,b,e,s,s,w,k
x,y,t,a,b,r,s,y,w,n
x,f,t,n,b,b,s,s,w,n
x,f,f,n,b,e,f,s,w,k
x,y,t,n,b,b,s,s,w,k
f,f,t,n,b,b,s,s,w,n
x,f,f,n,b,e,f,s,w,n
x,y,t,a,b,c,s,s,w,k
x,s,f,n,b,e,s,s,w,n
f,s,f,n,b,e,s,s,w,n
f,f,t,n,b,b,s,s,g,n
f,f,f,n,b,e,f,f,w,k
x,f,t,n,b,b,s,s,g,n
x,f,t,n,b,b,s,s,w,n
x,f,f,n,b,e,s,f,w,n
x,s,t,a,b,c,s,s,w,k
f,s,f,n,b,e,f,s,w,n
f,y,t,p,n,e,s,s,w,n
f,f,f,n,b,e,f,s,w,n
x,f,t,n,b,b,s,s,p,n
x,f,f,n,b,e,s,f,w,n
x,y,t,n,b,b,s,s,p,k
x,y,t,n,b,b,s,s,p,n
f,s,t,p,n,e,s,s,w,k
f,s,f,n,b,e,s,s,w,n
x,f,t,n,b,b,s,s,w,k
f,f,t,n,b,b,s,s,g,k
x,f,t,n,b,b,s,s,w,k
x,f,t,n,b,b,s,s,p,n
x,f,t,n,b,b,s,s,p,k
x,s,t,p,n,e,s,s,w,n
x,s,t,l,b,c,s,s,w,k
x,f,t,n,b,b,s,s,p,n
f,y,t,n,b,b,s,s,w,n
x,s,f,n,b,e,f,f,w,n
x,y,t,n,b,b,s,s,w,n
x,f,f,n,b,e,f,s,w,n
f,s,f,n,b,e,f,s,w,n
x,f,t,n,b,b,s,s,g,n
f,f,t,n,b,b,s,s,w,n
